STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5906;1979112420:12;    1;   -999;    0.0;    0.0;   0;   129.58;1979112421:00;eor
       5906;1979112421:12;    1;   -999;    0.0;    0.0;   0;   138.54;1979112422:00;eor
       5906;1979112422:12;    1;   -999;    0.0;    0.0;   0;   145.98;1979112423:00;eor
       5906;1979112423:12;    1;   -999;    0.0;    0.0;   0;   150.45;1979112500:00;eor
       5906;1979112500:12;    1;   -999;    0.0;    0.0;   0;   150.46;1979112501:00;eor
       5906;1979112501:12;    1;   -999;    0.0;    0.0;   0;   146.00;1979112502:00;eor
       5906;1979112502:12;    1;   -999;    0.0;    0.0;   0;   138.57;1979112503:00;eor
       5906;1979112503:12;    1;   -999;    0.0;    0.0;   0;   129.62;1979112504:00;eor
       5906;1979112504:12;    1;   -999;    0.0;    0.0;   0;   120.02;1979112505:00;eor
       5906;1979112505:12;    1;   -999;    0.0;    0.0;   0;   110.32;1979112506:00;eor
       5906;1979112506:12;    1;   -999;    0.0;    0.0;   0;   100.88;1979112507:00;eor
       5906;1979112507:12;    1;   -999;    1.0;    1.0;   0;    92.04;1979112508:00;eor
       5906;1979112508:12;    1;   -999;   11.0;   11.0;   0;    84.16;1979112509:00;eor
       5906;1979112509:12;    1;   -999;   17.0;   17.0;   0;    77.66;1979112510:00;eor
       5906;1979112510:12;    1;   -999;   24.0;   24.0;   0;    72.97;1979112511:00;eor
       5906;1979112511:12;    1;   -999;   21.0;   21.0;   0;    70.50;1979112512:00;eor
       5906;1979112512:12;    1;   -999;   19.0;   19.0;   0;    70.51;1979112513:00;eor
       5906;1979112513:12;    1;   -999;   21.0;   21.0;   0;    72.99;1979112514:00;eor
       5906;1979112514:12;    1;   -999;   24.0;   25.0;   6;    77.70;1979112515:00;eor
       5906;1979112515:12;    1;   -999;   14.0;   14.0;   0;    84.21;1979112516:00;eor
       5906;1979112516:12;    1;   -999;    2.0;    2.0;   0;    92.10;1979112517:00;eor
       5906;1979112517:12;    1;   -999;    0.0;    0.0;   0;   100.95;1979112518:00;eor
       5906;1979112518:12;    1;   -999;    0.0;    0.0;   0;   110.39;1979112519:00;eor
       5906;1979112519:12;    1;   -999;    0.0;    0.0;   0;   120.11;1979112520:00;eor
       5906;1979112520:12;    1;   -999;    0.0;    0.0;   0;   129.72;1979112521:00;eor
       5906;1979112521:12;    1;   -999;    0.0;    0.0;   0;   138.70;1979112522:00;eor
       5906;1979112522:12;    1;   -999;    0.0;    0.0;   0;   146.15;1979112523:00;eor
       5906;1979112523:12;    1;   -999;    0.0;    0.0;   0;   150.65;1979112600:00;eor
       5906;1979112600:12;    1;   -999;    0.0;    0.0;   0;   150.66;1979112601:00;eor
       5906;1979112601:12;    1;   -999;    0.0;    0.0;   0;   146.18;1979112602:00;eor
       5906;1979112602:12;    1;   -999;    0.0;    0.0;   0;   138.73;1979112603:00;eor
       5906;1979112603:12;    1;   -999;    0.0;    0.0;   0;   129.76;1979112604:00;eor
       5906;1979112604:12;    1;   -999;    0.0;    0.0;   0;   120.16;1979112605:00;eor
       5906;1979112605:12;    1;   -999;    0.0;    0.0;   0;   110.46;1979112606:00;eor
       5906;1979112606:12;    1;   -999;    0.0;    0.0;   0;   101.02;1979112607:00;eor
       5906;1979112607:12;    1;   -999;    0.0;    0.0;   0;    92.19;1979112608:00;eor
       5906;1979112608:12;    1;   -999;   11.0;   11.0;   0;    84.33;1979112609:00;eor
       5906;1979112609:12;    1;   -999;   26.0;   26.0;   0;    77.84;1979112610:00;eor
       5906;1979112610:12;    1;   -999;   36.0;   44.0;   6;    73.16;1979112611:00;eor
       5906;1979112611:12;    1;   -999;   69.0;   69.0;   0;    70.70;1979112612:00;eor
       5906;1979112612:12;    1;   -999;   60.0;   80.0;  18;    70.70;1979112613:00;eor
       5906;1979112613:12;    1;   -999;   62.0;   62.0;   0;    73.18;1979112614:00;eor
       5906;1979112614:12;    1;   -999;   29.0;   29.0;   0;    77.88;1979112615:00;eor
       5906;1979112615:13;    1;   -999;    9.0;    9.0;   0;    84.38;1979112616:00;eor
       5906;1979112616:13;    1;   -999;    1.0;    1.0;   0;    92.25;1979112617:00;eor
       5906;1979112617:13;    1;   -999;    0.0;    0.0;   0;   101.09;1979112618:00;eor
       5906;1979112618:13;    1;   -999;    0.0;    0.0;   0;   110.54;1979112619:00;eor
       5906;1979112619:13;    1;   -999;    0.0;    0.0;   0;   120.25;1979112620:00;eor
       5906;1979112620:13;    1;   -999;    0.0;    0.0;   0;   129.86;1979112621:00;eor
       5906;1979112621:13;    1;   -999;    0.0;    0.0;   0;   138.85;1979112622:00;eor
       5906;1979112622:13;    1;   -999;    0.0;    0.0;   0;   146.33;1979112623:00;eor
       5906;1979112623:13;    1;   -999;    0.0;    0.0;   0;   150.84;1979112700:00;eor
       5906;1979112700:13;    1;   -999;    0.0;    0.0;   0;   150.84;1979112701:00;eor
       5906;1979112701:13;    1;   -999;    0.0;    0.0;   0;   146.35;1979112702:00;eor
       5906;1979112702:13;    1;   -999;    0.0;    0.0;   0;   138.88;1979112703:00;eor
       5906;1979112703:13;    1;   -999;    0.0;    0.0;   0;   129.90;1979112704:00;eor
